legacy_id,date_in_legacy_data,title,category_in_legacy_data,summary,status,facebook_source,media_files,reason
report-2024-luna-interaction,2024-12-11,Співпраця з Dance Studio Luna: разом до успіху,partners,Приємні новини: спільно з Dance Studio Luna ми увійшли до списку найактивніших учасників тижня. Щиро дякуємо партнерам за довіру та співпрацю. Разом посилюємо нашу єдність!,requires_source_and_episode_review,,images/gallery/Фото звіт 2024/02.jpg,Нет Markdown-записи с этим ID; это не доказывает отсутствие эпизода в других материалах сайта. Исходный Facebook-пост не подтверждён. Не импортировать автоматически.
report-2024-nband-milan,2024-12-12,N.Band Dance Studio Luna представляє Україну в Мілані,partners,"Наші партнери, команда N.Band під керівництвом Анастасії Філіпової, вирушили на світовий чемпіонат до Мілану. Дякуємо за гідне представлення України та вболіваємо за перемогу!",requires_source_and_episode_review,,images/gallery/Фото звіт 2024/03.jpg,Нет Markdown-записи с этим ID; это не доказывает отсутствие эпизода в других материалах сайта. Исходный Facebook-пост не подтверждён. Не импортировать автоматически.
report-2024-starlink-112tro,2024-12-14,Зв’язок для Героїв: фінішна пряма збору для 112 ТрО,zsu,Залишилось зібрати 15 539 грн на Starlink та зарядну станцію для 112 бригади ТрО. Це життєво необхідний зв’язок. Підтримайте збір: https://send.monobank.ua/jar/4c2YkSmn3B. Разом наближаємо Перемогу!,requires_source_and_episode_review,,images/gallery/Фото звіт 2024/6.jpg,Нет Markdown-записи с этим ID; это не доказывает отсутствие эпизода в других материалах сайта. Исходный Facebook-пост не подтверждён. Не импортировать автоматически.
report-2024-dec-14-partners,2024-12-15,Важливі результати та вдячність партнерам,partners,"14 грудня отримали надихаючі результати від партнерів. Дякуємо Ростиславу Кирницькому з командою за працю, а захисникам — за силу духу. Молимося за кожного нашого воїна.",requires_source_and_episode_review,,images/gallery/Фото звіт 2024/7.jpg,Нет Markdown-записи с этим ID; это не доказывает отсутствие эпизода в других материалах сайта. Исходный Facebook-пост не подтверждён. Не импортировать автоматически.
report-2024-nband-milan-arrival,2024-12-15,N.Band вже в Мілані: вболіваємо за Україну!,partners,"Наші партнери, зіркова команда N.Band, вже в Мілані і завтра представлятимуть Україну на світових змаганнях. Дякуємо за гідне представлення держави та бажаємо успіху й перемоги!",requires_source_and_episode_review,,images/gallery/Фото звіт 2024/8.jpg | images/gallery/Фото звіт 2024/9.jpg | images/gallery/Фото звіт 2024/10.jpg | images/gallery/Фото звіт 2024/11.jpg,Нет Markdown-записи с этим ID; это не доказывает отсутствие эпизода в других материалах сайта. Исходный Facebook-пост не подтверждён. Не импортировать автоматически.
report-2024-temple-holiday-service,2024-12-20,Запрошуємо на храмове свято та спільну молитву,partners,"Партнери запрошують на літургію, яку очолить єпископ Єфрем. Молимося за воїнів, медиків, волонтерів та перемогу. Чекаємо о 09:00 на вул. Винниченка, 9д. Дякуємо за духовну єдність.",requires_source_and_episode_review,,images/gallery/Фото звіт 2024/34.jpg,Нет Markdown-записи с этим ID; это не доказывает отсутствие эпизода в других материалах сайта. Исходный Facebook-пост не подтверждён. Не импортировать автоматически.
report-2024-usyk-victory,2024-12-22,Перемога козацького духу: Усик захистив титули,partners,"Вітаємо нашого партнера Олександра Усика з перемогою! Він захистив титули чемпіона та нагадав світові про нашу історію, піднявши шаблю гетьмана Мазепи. Дякуємо за гідне представлення України. З нами Бог!",requires_source_and_episode_review,,images/gallery/Фото звіт 2024/38.jpg | images/gallery/Фото звіт 2024/39.jpg | images/gallery/Фото звіт 2024/40.jpg,Нет Markdown-записи с этим ID; это не доказывает отсутствие эпизода в других материалах сайта. Исходный Facebook-пост не подтверждён. Не импортировать автоматически.
report-2024-christmas-fpv-210,2024-12-23,Різдвяний збір: FPV-дрони для 210 ОШП,zsu,"Партнери з 210 полку оголосили збір на «святкові» дрони. Підтримайте системну поставку для відбиття ворога! Монобанка: https://send.monobank.ua/jar/8W7oysNQJV, PayPal: evgeniy.kpba@gmail.com.",requires_source_and_episode_review,,images/gallery/Фото звіт 2024/482031390_1715439125707134_428103057524148320_n.jpg,Нет Markdown-записи с этим ID; это не доказывает отсутствие эпизода в других материалах сайта. Исходный Facebook-пост не подтверждён. Не импортировать автоматически.
report-2025-new-year-greeting,2025-01-01,Новорічне привітання від партнерів: віримо в Перемогу 2025,partners,"Партнери на чолі з Богданом Колодієм привітали з Новим роком, побажавши миру та Перемоги у 2025-му. Вони наголосили на важливості спільної праці та молитви за наших Захисників. Дякуємо за віру в незламність нації. Нехай 2025 стане роком Перемоги Світла!",requires_source_and_episode_review,,images/gallery/Фото звіт 2025/1.jpg,Нет Markdown-записи с этим ID; это не доказывает отсутствие эпизода в других материалах сайта. Исходный Facebook-пост не подтверждён. Не импортировать автоматически.
report-2025-christmas-epiphany-greeting,2025-01-02,"Віра, єдність, перемога: різдвяні вітання та підтримка Митрополита",partners,"Партнери вітають з Новим роком та Різдвом, наголошуючи на силі віри й любові. Дякуємо воїнам за мужність, а Митрополиту Епіфанію — за молитовну підтримку та теплі слова. Все буде Україна!",requires_source_and_episode_review,,images/gallery/Фото звіт 2025/2.jpg | images/gallery/Фото звіт 2025/3.jpg | images/gallery/Фото звіт 2025/4.jpg,Нет Markdown-записи с этим ID; это не доказывает отсутствие эпизода в других материалах сайта. Исходный Facebook-пост не подтверждён. Не импортировать автоматически.
